         223932 function calls (221191 primitive calls) in 0.187 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.188    0.188 /workspaces/git-cicd/train.py:9(train_model)
        1    0.000    0.000    0.178    0.178 /home/codespace/.local/lib/python3.12/site-packages/sklearn/base.py:1346(wrapper)
        1    0.000    0.000    0.177    0.177 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:327(fit)
        1    0.000    0.000    0.112    0.112 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/parallel.py:54(__call__)
        1    0.000    0.000    0.112    0.112 /home/codespace/.local/lib/python3.12/site-packages/joblib/parallel.py:1969(__call__)
      102    0.000    0.000    0.112    0.001 /home/codespace/.local/lib/python3.12/site-packages/joblib/parallel.py:1888(_get_sequential_output)
      100    0.001    0.000    0.109    0.001 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/parallel.py:131(__call__)
      100    0.002    0.000    0.105    0.001 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:150(_parallel_build_trees)
      100    0.012    0.000    0.082    0.001 /home/codespace/.local/lib/python3.12/site-packages/sklearn/tree/_classes.py:231(_fit)
      100    0.001    0.000    0.062    0.001 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_base.py:135(_make_estimator)
      501    0.003    0.000    0.052    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/base.py:233(get_params)
      603    0.000    0.000    0.048    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:3325(signature)
      501    0.005    0.000    0.048    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/base.py:202(_get_param_names)
      603    0.000    0.000    0.047    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:3067(from_callable)
      603    0.003    0.000    0.047    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:2463(_signature_from_callable)
      603    0.013    0.000    0.042    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:2368(_signature_from_function)
      301    0.016    0.000    0.035    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/validation.py:1488(check_random_state)
      101    0.000    0.000    0.028    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/multiclass.py:201(check_classification_targets)
      101    0.003    0.000    0.027    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/utils/multiclass.py:228(type_of_target)
 1400/100    0.001    0.000    0.026    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/base.py:44(clone)
      100    0.000    0.000    0.026    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/base.py:359(__sklearn_clone__)
 1400/100    0.002    0.000    0.026    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/base.py:98(_clone_parametrized)
      100    0.002    0.000    0.024    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_base.py:43(_set_random_states)
      200    0.001    0.000    0.023    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/base.py:315(set_params)
      100    0.001    0.000    0.021    0.000 /home/codespace/.local/lib/python3.12/site-packages/sklearn/ensemble/_forest.py:124(_generate_sample_indices)
     7729    0.010    0.000    0.018    0.000 /usr/local/python/3.12.1/lib/python3.12/inspect.py:2729(__init__)
      200    0.017    0.000    0.017    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:470(inner)
